"job_id","sim_id","seed","sim_seed","sim_key","grid_profile","nrep","nsample","p_train","method_preset","a_stage_model","fusion_mode","screen_method","sis_n","sis_rank","lambda_choice","glmnet_alpha","fdr_method","q_thresholds","fdr_scope","top_n","outcome_type","ygen_mode","b_inference","debias_max_targets","coop_rho","bootstrap_repeats","residualize","maaslin2_random_effect","maaslin2_normalization","maaslin2_transform","maaslin2_analysis_method","maaslin2_standardize","snr","n_pathways","TIE"
20,4,100400,100400,"small_n||10|| 50||1||continuous||LM||2||30||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.min",0.5,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,30,1
21,1,100100,100100,"small_n||10|| 50||1||continuous||LM||1||10||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.min",0.5,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,10,1
22,2,100200,100200,"small_n||10|| 50||1||continuous||LM||1||30||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.min",0.5,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,30,1
23,3,100300,100300,"small_n||10|| 50||1||continuous||LM||2||10||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.min",0.5,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,10,1
24,4,100400,100400,"small_n||10|| 50||1||continuous||LM||2||30||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.min",0.5,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,30,1
25,1,100100,100100,"small_n||10|| 50||1||continuous||LM||1||10||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.min",1,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,10,1
26,2,100200,100200,"small_n||10|| 50||1||continuous||LM||1||30||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.min",1,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,30,1
27,3,100300,100300,"small_n||10|| 50||1||continuous||LM||2||10||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.min",1,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,10,1
28,4,100400,100400,"small_n||10|| 50||1||continuous||LM||2||30||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.min",1,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,30,1
29,1,100100,100100,"small_n||10|| 50||1||continuous||LM||1||10||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.min",1,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,10,1
30,2,100200,100200,"small_n||10|| 50||1||continuous||LM||1||30||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.min",1,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,30,1
31,3,100300,100300,"small_n||10|| 50||1||continuous||LM||2||10||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.min",1,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,10,1
32,4,100400,100400,"small_n||10|| 50||1||continuous||LM||2||30||1","small_n",10,50,1,"custom","lm","early","none",,"abs_a","lambda.min",1,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,30,1
33,1,100100,100100,"small_n||10|| 50||1||continuous||LM||1||10||1","small_n",10,50,1,"custom","lm","intermediate","none",,"abs_a","lambda.1se",1,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,10,1
34,2,100200,100200,"small_n||10|| 50||1||continuous||LM||1||30||1","small_n",10,50,1,"custom","lm","intermediate","none",,"abs_a","lambda.1se",1,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,30,1
35,3,100300,100300,"small_n||10|| 50||1||continuous||LM||2||10||1","small_n",10,50,1,"custom","lm","intermediate","none",,"abs_a","lambda.1se",1,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,10,1
36,4,100400,100400,"small_n||10|| 50||1||continuous||LM||2||30||1","small_n",10,50,1,"custom","lm","intermediate","none",,"abs_a","lambda.1se",1,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,30,1
37,1,100100,100100,"small_n||10|| 50||1||continuous||LM||1||10||1","small_n",10,50,1,"custom","lm","intermediate","none",,"abs_a","lambda.1se",1,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,10,1
38,2,100200,100200,"small_n||10|| 50||1||continuous||LM||1||30||1","small_n",10,50,1,"custom","lm","intermediate","none",,"abs_a","lambda.1se",1,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,30,1
39,3,100300,100300,"small_n||10|| 50||1||continuous||LM||2||10||1","small_n",10,50,1,"custom","lm","intermediate","none",,"abs_a","lambda.1se",1,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,10,1
40,4,100400,100400,"small_n||10|| 50||1||continuous||LM||2||30||1","small_n",10,50,1,"custom","lm","intermediate","none",,"abs_a","lambda.1se",1,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,30,1
41,1,100100,100100,"small_n||10|| 50||1||continuous||LM||1||10||1","small_n",10,50,1,"custom","lm","intermediate","none",,"abs_a","lambda.min",1,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,10,1
42,2,100200,100200,"small_n||10|| 50||1||continuous||LM||1||30||1","small_n",10,50,1,"custom","lm","intermediate","none",,"abs_a","lambda.min",1,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,30,1
43,3,100300,100300,"small_n||10|| 50||1||continuous||LM||2||10||1","small_n",10,50,1,"custom","lm","intermediate","none",,"abs_a","lambda.min",1,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,10,1
44,4,100400,100400,"small_n||10|| 50||1||continuous||LM||2||30||1","small_n",10,50,1,"custom","lm","intermediate","none",,"abs_a","lambda.min",1,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,30,1
45,1,100100,100100,"small_n||10|| 50||1||continuous||LM||1||10||1","small_n",10,50,1,"custom","lm","intermediate","none",,"abs_a","lambda.min",1,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,10,1
46,2,100200,100200,"small_n||10|| 50||1||continuous||LM||1||30||1","small_n",10,50,1,"custom","lm","intermediate","none",,"abs_a","lambda.min",1,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,30,1
47,3,100300,100300,"small_n||10|| 50||1||continuous||LM||2||10||1","small_n",10,50,1,"custom","lm","intermediate","none",,"abs_a","lambda.min",1,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,10,1
48,4,100400,100400,"small_n||10|| 50||1||continuous||LM||2||30||1","small_n",10,50,1,"custom","lm","intermediate","none",,"abs_a","lambda.min",1,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,30,1
49,1,100100,100100,"small_n||10|| 50||1||continuous||LM||1||10||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.1se",0.5,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,10,1
50,2,100200,100200,"small_n||10|| 50||1||continuous||LM||1||30||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.1se",0.5,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,30,1
51,3,100300,100300,"small_n||10|| 50||1||continuous||LM||2||10||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.1se",0.5,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,10,1
52,4,100400,100400,"small_n||10|| 50||1||continuous||LM||2||30||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.1se",0.5,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,30,1
53,1,100100,100100,"small_n||10|| 50||1||continuous||LM||1||10||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.1se",0.5,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,10,1
54,2,100200,100200,"small_n||10|| 50||1||continuous||LM||1||30||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.1se",0.5,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,30,1
55,3,100300,100300,"small_n||10|| 50||1||continuous||LM||2||10||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.1se",0.5,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,10,1
56,4,100400,100400,"small_n||10|| 50||1||continuous||LM||2||30||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.1se",0.5,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,30,1
57,1,100100,100100,"small_n||10|| 50||1||continuous||LM||1||10||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.1se",1,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,10,1
58,2,100200,100200,"small_n||10|| 50||1||continuous||LM||1||30||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.1se",1,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,30,1
59,3,100300,100300,"small_n||10|| 50||1||continuous||LM||2||10||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.1se",1,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,10,1
60,4,100400,100400,"small_n||10|| 50||1||continuous||LM||2||30||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.1se",1,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,30,1
61,1,100100,100100,"small_n||10|| 50||1||continuous||LM||1||10||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.1se",1,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,10,1
62,2,100200,100200,"small_n||10|| 50||1||continuous||LM||1||30||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.1se",1,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,30,1
63,3,100300,100300,"small_n||10|| 50||1||continuous||LM||2||10||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.1se",1,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,10,1
64,4,100400,100400,"small_n||10|| 50||1||continuous||LM||2||30||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.1se",1,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,30,1
65,1,100100,100100,"small_n||10|| 50||1||continuous||LM||1||10||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.min",0.5,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,10,1
66,2,100200,100200,"small_n||10|| 50||1||continuous||LM||1||30||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.min",0.5,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,30,1
67,3,100300,100300,"small_n||10|| 50||1||continuous||LM||2||10||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.min",0.5,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,10,1
68,4,100400,100400,"small_n||10|| 50||1||continuous||LM||2||30||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.min",0.5,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,30,1
69,1,100100,100100,"small_n||10|| 50||1||continuous||LM||1||10||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.min",0.5,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,10,1
70,2,100200,100200,"small_n||10|| 50||1||continuous||LM||1||30||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.min",0.5,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,30,1
71,3,100300,100300,"small_n||10|| 50||1||continuous||LM||2||10||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.min",0.5,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,10,1
72,4,100400,100400,"small_n||10|| 50||1||continuous||LM||2||30||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.min",0.5,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,30,1
73,1,100100,100100,"small_n||10|| 50||1||continuous||LM||1||10||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.min",1,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,10,1
74,2,100200,100200,"small_n||10|| 50||1||continuous||LM||1||30||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.min",1,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,30,1
75,3,100300,100300,"small_n||10|| 50||1||continuous||LM||2||10||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.min",1,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,10,1
76,4,100400,100400,"small_n||10|| 50||1||continuous||LM||2||30||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.min",1,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,30,1
77,1,100100,100100,"small_n||10|| 50||1||continuous||LM||1||10||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.min",1,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,10,1
78,2,100200,100200,"small_n||10|| 50||1||continuous||LM||1||30||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.min",1,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,30,1
79,3,100300,100300,"small_n||10|| 50||1||continuous||LM||2||10||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.min",1,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,10,1
80,4,100400,100400,"small_n||10|| 50||1||continuous||LM||2||30||1","small_n",10,50,1,"custom","lm","late","none",,"abs_a","lambda.min",1,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,30,1
81,1,100100,100100,"small_n||10|| 50||1||continuous||LM||1||10||1","small_n",10,50,1,"custom","lm","early","sis",50,"abs_a","lambda.1se",0.5,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,10,1
82,2,100200,100200,"small_n||10|| 50||1||continuous||LM||1||30||1","small_n",10,50,1,"custom","lm","early","sis",50,"abs_a","lambda.1se",0.5,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,30,1
83,3,100300,100300,"small_n||10|| 50||1||continuous||LM||2||10||1","small_n",10,50,1,"custom","lm","early","sis",50,"abs_a","lambda.1se",0.5,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,10,1
84,4,100400,100400,"small_n||10|| 50||1||continuous||LM||2||30||1","small_n",10,50,1,"custom","lm","early","sis",50,"abs_a","lambda.1se",0.5,"BH","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,30,1
85,1,100100,100100,"small_n||10|| 50||1||continuous||LM||1||10||1","small_n",10,50,1,"custom","lm","early","sis",50,"abs_a","lambda.1se",0.5,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,10,1
86,2,100200,100200,"small_n||10|| 50||1||continuous||LM||1||30||1","small_n",10,50,1,"custom","lm","early","sis",50,"abs_a","lambda.1se",0.5,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,1,30,1
87,3,100300,100300,"small_n||10|| 50||1||continuous||LM||2||10||1","small_n",10,50,1,"custom","lm","early","sis",50,"abs_a","lambda.1se",0.5,"BY","0.05,0.10,0.15,0.20,0.25","both",50,"continuous","LM","debiased_lasso",200,0.2,0,FALSE,,"NONE","NONE","LM",FALSE,2,10,1
